Frame,Object ID,Class,Traffic Status,Movement Direction,Entry/Exit Status
36,2,Vehicle,Light Traffic,Left,Entered
36,3,Vehicle,Light Traffic,Left,In Zone
36,4,Vehicle,Light Traffic,Left,In Zone
36,6,Vehicle,Light Traffic,Right,In Zone
37,1,Vehicle,Light Traffic,Right,In Zone
37,2,Vehicle,Light Traffic,Left,Entered
37,3,Vehicle,Light Traffic,Left,In Zone
37,4,Vehicle,Light Traffic,Left,In Zone
37,6,Vehicle,Light Traffic,Right,In Zone
38,1,Vehicle,Light Traffic,Right,In Zone
38,2,Vehicle,Light Traffic,Left,Entered
38,3,Vehicle,Light Traffic,Left,In Zone
38,4,Vehicle,Light Traffic,Left,In Zone
38,6,Vehicle,Light Traffic,Left,In Zone
39,1,Vehicle,Light Traffic,Left,In Zone
39,2,Vehicle,Light Traffic,Left,Entered
39,3,Vehicle,Light Traffic,Left,In Zone
39,4,Vehicle,Light Traffic,Left,In Zone
39,6,Vehicle,Light Traffic,Right,In Zone
40,1,Vehicle,Light Traffic,Left,In Zone
40,2,Vehicle,Light Traffic,Left,Entered
40,3,Vehicle,Light Traffic,Left,In Zone
40,4,Vehicle,Light Traffic,Left,In Zone
40,6,Vehicle,Light Traffic,Right,In Zone
41,1,Vehicle,Light Traffic,Right,In Zone
41,2,Vehicle,Light Traffic,Left,Entered
41,3,Vehicle,Light Traffic,Left,In Zone
41,4,Vehicle,Light Traffic,Right,In Zone
41,6,Vehicle,Light Traffic,Right,In Zone
42,1,Vehicle,Moderate Traffic,Right,In Zone
42,2,Vehicle,Moderate Traffic,Left,Entered
42,3,Vehicle,Moderate Traffic,Left,In Zone
42,4,Vehicle,Moderate Traffic,Left,In Zone
42,6,Vehicle,Moderate Traffic,Right,In Zone
43,1,Vehicle,Moderate Traffic,Right,In Zone
43,2,Vehicle,Moderate Traffic,Left,Entered
43,3,Vehicle,Moderate Traffic,Left,In Zone
43,4,Vehicle,Moderate Traffic,Left,In Zone
43,6,Vehicle,Moderate Traffic,Right,In Zone
44,1,Vehicle,Moderate Traffic,Right,In Zone
44,2,Vehicle,Moderate Traffic,Left,Entered
44,3,Vehicle,Moderate Traffic,Left,In Zone
44,4,Vehicle,Moderate Traffic,Left,In Zone
44,6,Vehicle,Moderate Traffic,Left,In Zone
44,7,Vehicle,Moderate Traffic,Right,In Zone
45,1,Vehicle,Moderate Traffic,Right,In Zone
45,2,Vehicle,Moderate Traffic,Left,Entered
45,3,Vehicle,Moderate Traffic,Left,In Zone
45,4,Vehicle,Moderate Traffic,Left,In Zone
45,6,Vehicle,Moderate Traffic,Right,In Zone
45,7,Vehicle,Moderate Traffic,Left,In Zone
46,1,Vehicle,Moderate Traffic,Right,In Zone
46,2,Vehicle,Moderate Traffic,Left,Entered
46,3,Vehicle,Moderate Traffic,Left,In Zone
46,4,Vehicle,Moderate Traffic,Left,In Zone
46,6,Vehicle,Moderate Traffic,Right,In Zone
46,7,Vehicle,Moderate Traffic,Left,In Zone
47,1,Vehicle,Moderate Traffic,Left,In Zone
47,2,Vehicle,Moderate Traffic,Left,Entered
47,3,Vehicle,Moderate Traffic,Left,In Zone
47,4,Vehicle,Moderate Traffic,Left,In Zone
47,6,Vehicle,Moderate Traffic,Right,In Zone
47,7,Vehicle,Moderate Traffic,Left,In Zone
48,1,Vehicle,Moderate Traffic,Right,In Zone
48,2,Vehicle,Moderate Traffic,Left,Entered
48,3,Vehicle,Moderate Traffic,Left,In Zone
48,4,Vehicle,Moderate Traffic,Right,In Zone
48,6,Vehicle,Moderate Traffic,Right,In Zone
48,7,Vehicle,Moderate Traffic,Left,In Zone
49,1,Vehicle,Moderate Traffic,Right,In Zone
49,2,Vehicle,Moderate Traffic,Left,Entered
49,3,Vehicle,Moderate Traffic,Left,In Zone
49,4,Vehicle,Moderate Traffic,Left,In Zone
49,6,Vehicle,Moderate Traffic,Right,In Zone
49,7,Vehicle,Moderate Traffic,Left,In Zone
50,1,Vehicle,Moderate Traffic,Right,In Zone
50,2,Vehicle,Moderate Traffic,Left,Entered
50,3,Vehicle,Moderate Traffic,Left,In Zone
50,4,Vehicle,Moderate Traffic,Right,In Zone
50,6,Vehicle,Moderate Traffic,Right,In Zone
50,7,Vehicle,Moderate Traffic,Left,Entered
51,1,Vehicle,Moderate Traffic,Right,In Zone
51,2,Vehicle,Moderate Traffic,Left,Entered
51,3,Vehicle,Moderate Traffic,Left,In Zone
51,4,Vehicle,Moderate Traffic,Left,In Zone
